churn_reason,churned_customers,percent_of_churned_customers
Attitude of support person,192,10.27
Competitor offered higher download speeds,189,10.11
Competitor offered more data,162,8.67
Don't know,154,8.24
Competitor made better offer,140,7.49
Attitude of service provider,135,7.22
Competitor had better devices,130,6.96
Network reliability,103,5.51
Product dissatisfaction,102,5.46
Price too high,98,5.24
Service dissatisfaction,89,4.76
Lack of self-service on Website,88,4.71
Extra data charges,57,3.05
Moved,53,2.84
Long distance charges,44,2.35
Limited range of services,44,2.35
Lack of affordable download/upload speed,44,2.35
Poor expertise of phone support,20,1.07
Poor expertise of online support,19,1.02
Deceased,6,0.32
